"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 4, 34
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\calendar.js", "JavaScript", 0, 0, 0, 0, 196, 0, 0, 0, 0, 28, 16, 240
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\cancel.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 3, 30
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\change_form.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 1, 17
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\core.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 19, 18, 185
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\filters.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 5, 31
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\inlines.js", "JavaScript", 0, 0, 0, 0, 272, 0, 0, 0, 0, 61, 27, 360
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 1, 9
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 6, 80
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 10, 5, 44
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\theme.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 6, 52
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\unusable_password_field.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 1, 30
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\urlify.js", "JavaScript", 0, 0, 0, 0, 159, 0, 0, 0, 0, 5, 6, 170
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 0, 0, 6767, 0, 0, 0, 0, 1887, 2063, 10717
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
